"Periode_id","Annee_scolaire","Formation","Niveau","Type","Date_debut","Date_fin","Offre_temporaire_proposee","Offres_candidates","Libelle_periode_propose","Code_periode_propose","Classification","Ambiguite"
"68","2026-2027","T BAC PRO","RSP","PFMP Tbac","2026-09-28","2026-10-16","2026-2027__CLASSE_33","2026-2027__CLASSE_33","PFMP Tbac — RSP — 2026-09-28 au 2026-10-16","2026_2027_T_BAC_PRO_RSP_02","Correspondance certaine",""
"137","2026-2027","2 BAC PRO","CPA","PFMP 2nde","2027-05-24","2027-07-02","2026-2027__CLASSE_13","2026-2027__CLASSE_13","PFMP 2nde — CPA — 2027-05-24 au 2027-07-02","2026_2027_2_BAC_PRO_CPA_01","Correspondance probable à valider","Écart entre le code de classe et le niveau de période."
"138","2026-2027","2 BAC PRO","MVA","PFMP 2nde","2027-05-24","2027-07-02","","2026-2027__CLASSE_17|2026-2027__CLASSE_18","PFMP 2nde — MVA — 2027-05-24 au 2027-07-02","2026_2027_2_BAC_PRO_MVA_01","Correspondance impossible à déterminer","La période correspond à 2 classes actives ; une référence Offre_formation unique est insuffisante."
"139","2026-2027","2 BAC PRO","REMI","PFMP 2nde","2027-05-24","2027-07-02","","2026-2027__CLASSE_19|2026-2027__CLASSE_20","PFMP 2nde — REMI — 2027-05-24 au 2027-07-02","2026_2027_2_BAC_PRO_REMI_01","Correspondance impossible à déterminer","La période correspond à 2 classes actives ; une référence Offre_formation unique est insuffisante."
"140","2026-2027","2 BAC PRO","MP3D","PFMP 2nde","2027-05-24","2027-07-02","2026-2027__CLASSE_14","2026-2027__CLASSE_14","PFMP 2nde — MP3D — 2027-05-24 au 2027-07-02","2026_2027_2_BAC_PRO_MP3D_01","Correspondance certaine",""
"141","2026-2027","2 BAC PRO","MTNE","PFMP 2nde","2027-05-24","2027-07-02","","2026-2027__CLASSE_15|2026-2027__CLASSE_16","PFMP 2nde — MTNE — 2027-05-24 au 2027-07-02","2026_2027_2_BAC_PRO_MTNE_01","Correspondance impossible à déterminer","La période correspond à 2 classes actives ; une référence Offre_formation unique est insuffisante."
"271","2026-2027","1BTS","CIEL","Stage BTS","2027-05-24","2027-07-02","","","Stage BTS — CIEL — 2027-05-24 au 2027-07-02","2026_2027_1BTS_CIEL_01","Correspondance impossible à déterminer","Aucune classe active correspondante."
"272","2026-2027","1BTS","CPRP","Stage BTS","2027-05-10","2027-07-02","","","Stage BTS — CPRP — 2027-05-10 au 2027-07-02","2026_2027_1BTS_CPRP_01","Correspondance impossible à déterminer","Aucune classe active correspondante."
"273","2026-2027","1BTS","CPI","Stage BTS","2027-05-10","2027-07-02","","","Stage BTS — CPI — 2027-05-10 au 2027-07-02","2026_2027_1BTS_CPI_01","Correspondance impossible à déterminer","Aucune classe active correspondante."
"274","2026-2027","1BTS","ELEC","Stage BTS","2027-05-24","2027-07-02","2026-2027__CLASSE_39","2026-2027__CLASSE_39","Stage BTS — ELEC — 2027-05-24 au 2027-07-02","2026_2027_1BTS_ELEC_01","Correspondance certaine",""
"275","2026-2027","1BTS","MV","Stage BTS","2027-05-31","2027-07-02","","","Stage BTS — MV — 2027-05-31 au 2027-07-02","2026_2027_1BTS_MV_01","Correspondance impossible à déterminer","Aucune classe active correspondante."
"277","2026-2027","2BTS","MV","Stage BTS","2026-11-16","2026-12-18","","","Stage BTS — MV — 2026-11-16 au 2026-12-18","2026_2027_2BTS_MV_01","Correspondance impossible à déterminer","Aucune classe active correspondante."
"278","2026-2027","1BTS MV","Mixité","Stage BTS","2027-05-31","2027-08-31","","","Stage BTS — Mixité — 2027-05-31 au 2027-08-31","2026_2027_1BTS_MV_MIXITE_01","Correspondance impossible à déterminer","Aucune classe active correspondante."
"284","2026-2027","CAP","T CA","PFMP TCAP","2027-03-15","2027-04-09","2026-2027__CLASSE_23","2026-2027__CLASSE_23","PFMP TCAP — T CA — 2027-03-15 au 2027-04-09","2026_2027_CAP_T_CA_01","Correspondance probable à valider","Écart entre le code de classe et le niveau de période."
"285","2026-2027","CAP","1 CA","PFMP 1 CAP","2027-05-24","2027-07-02","2026-2027__CLASSE_1","2026-2027__CLASSE_1","PFMP 1 CAP — 1 CA — 2027-05-24 au 2027-07-02","2026_2027_CAP_1_CA_01","Correspondance probable à valider","Écart entre le code de classe et le niveau de période."
"287","2026-2027","CAP","T CA","PFMP T CAP","2026-11-16","2026-12-04","2026-2027__CLASSE_23","2026-2027__CLASSE_23","PFMP T CAP — T CA — 2026-11-16 au 2026-12-04","2026_2027_CAP_T_CA_02","Correspondance probable à valider","Écart entre le code de classe et le niveau de période."
